Examinee_ID,Domain,Domain_Label,Function,Index,Index_Column,Value,Flag_Column,Flag,Evidence_Eligible,Evidence_Use,Role,Role_Class,Flag_Type,Package_Output,Package_Flag,Threshold_Rule,Threshold_Source,Aggregation,Aggregation_Family,Correction_Variant,Data_Basis,Variant_Treatment,Notes
332,MF,Misfit,detect_pm,ECI2_S_CF_flag,ECI2_S_CF_flag,0.0,pm_ECI2_S_CF_flag,0,1,Evidence Flag,supporting,supporting,package_pvalue_flag,"stat,pval,flag",yes,Use package-returned flag; PsyMAS does not recompute p-value thresholds.,aberrance alpha parameter; default 0.05 unless user sets alpha.,index_flag,pm_ECI2_S,CF,score,family_level_signal,Score-time standardized log-likelihood; correction variant selected in method name | Parametric person-fit evidence; data basis is retained separately. Correction variants collapse to one family-level MF signal.
332,MF,Misfit,detect_pm,ECI2_S_CF_pval_flag,ECI2_S_CF_pval_flag,0.0,pm_ECI2_S_CF_pval_Flag,0,1,Evidence Flag,supporting,supporting,package_pvalue_flag,"stat,pval,flag",yes,Use package-returned flag; PsyMAS does not recompute p-value thresholds.,aberrance alpha parameter; default 0.05 unless user sets alpha.,index_flag,pm_ECI2_S,CF,score,family_level_signal,Score-time standardized log-likelihood; correction variant selected in method name | Parametric person-fit evidence; data basis is retained separately. Correction variants collapse to one family-level MF signal.
332,MF,Misfit,detect_pm,ECI2_S_CS_flag,ECI2_S_CS_flag,0.0,pm_ECI2_S_CS_flag,0,1,Evidence Flag,supporting,supporting,package_pvalue_flag,"stat,pval,flag",yes,Use package-returned flag; PsyMAS does not recompute p-value thresholds.,aberrance alpha parameter; default 0.05 unless user sets alpha.,index_flag,pm_ECI2_S,CS,score,family_level_signal,Score-time standardized log-likelihood; correction variant selected in method name | Parametric person-fit evidence; data basis is retained separately. Correction variants collapse to one family-level MF signal.
332,MF,Misfit,detect_pm,ECI2_S_CS_pval_flag,ECI2_S_CS_pval_flag,0.0,pm_ECI2_S_CS_pval_Flag,0,1,Evidence Flag,supporting,supporting,package_pvalue_flag,"stat,pval,flag",yes,Use package-returned flag; PsyMAS does not recompute p-value thresholds.,aberrance alpha parameter; default 0.05 unless user sets alpha.,index_flag,pm_ECI2_S,CS,score,family_level_signal,Score-time standardized log-likelihood; correction variant selected in method name | Parametric person-fit evidence; data basis is retained separately. Correction variants collapse to one family-level MF signal.
332,MF,Misfit,detect_pm,ECI2_S_EW_flag,ECI2_S_EW_flag,0.0,pm_ECI2_S_EW_flag,0,1,Evidence Flag,supporting,supporting,package_pvalue_flag,"stat,pval,flag",yes,Use package-returned flag; PsyMAS does not recompute p-value thresholds.,aberrance alpha parameter; default 0.05 unless user sets alpha.,index_flag,pm_ECI2_S,EW,score,family_level_signal,Score-time standardized log-likelihood; correction variant selected in method name | Parametric person-fit evidence; data basis is retained separately. Correction variants collapse to one family-level MF signal.
332,MF,Misfit,detect_pm,ECI2_S_EW_pval_flag,ECI2_S_EW_pval_flag,0.0,pm_ECI2_S_EW_pval_Flag,0,1,Evidence Flag,supporting,supporting,package_pvalue_flag,"stat,pval,flag",yes,Use package-returned flag; PsyMAS does not recompute p-value thresholds.,aberrance alpha parameter; default 0.05 unless user sets alpha.,index_flag,pm_ECI2_S,EW,score,family_level_signal,Score-time standardized log-likelihood; correction variant selected in method name | Parametric person-fit evidence; data basis is retained separately. Correction variants collapse to one family-level MF signal.
332,MF,Misfit,detect_pm,ECI2_S_NO / CF / CS / EW / TS / TSCF / TSCS / TSEW,ECI2_S_NO_flag,0.0,pm_ECI2_S_NO_flag,0,1,Evidence Flag,supporting,supporting,package_pvalue_flag,"stat,pval,flag",yes,Use package-returned flag; PsyMAS does not recompute p-value thresholds.,aberrance alpha parameter; default 0.05 unless user sets alpha.,index_flag,pm_ECI2_S,NO,score,family_level_signal,Second standardized extended caution index | Parametric person-fit evidence; data basis is retained separately. Correction variants collapse to one family-level MF signal.
332,MF,Misfit,detect_pm,ECI2_S_TSCF_flag,ECI2_S_TSCF_flag,0.0,pm_ECI2_S_TSCF_flag,0,1,Evidence Flag,supporting,supporting,package_pvalue_flag,"stat,pval,flag",yes,Use package-returned flag; PsyMAS does not recompute p-value thresholds.,aberrance alpha parameter; default 0.05 unless user sets alpha.,index_flag,pm_ECI2_S,TSCF,score,family_level_signal,Score-time standardized log-likelihood; correction variant selected in method name | Parametric person-fit evidence; data basis is retained separately. Correction variants collapse to one family-level MF signal.
332,MF,Misfit,detect_pm,ECI2_S_TSCF_pval_flag,ECI2_S_TSCF_pval_flag,0.0,pm_ECI2_S_TSCF_pval_Flag,0,1,Evidence Flag,supporting,supporting,package_pvalue_flag,"stat,pval,flag",yes,Use package-returned flag; PsyMAS does not recompute p-value thresholds.,aberrance alpha parameter; default 0.05 unless user sets alpha.,index_flag,pm_ECI2_S,TSCF,score,family_level_signal,Score-time standardized log-likelihood; correction variant selected in method name | Parametric person-fit evidence; data basis is retained separately. Correction variants collapse to one family-level MF signal.
332,MF,Misfit,detect_pm,ECI2_S_TSCS_flag,ECI2_S_TSCS_flag,0.0,pm_ECI2_S_TSCS_flag,0,1,Evidence Flag,supporting,supporting,package_pvalue_flag,"stat,pval,flag",yes,Use package-returned flag; PsyMAS does not recompute p-value thresholds.,aberrance alpha parameter; default 0.05 unless user sets alpha.,index_flag,pm_ECI2_S,TSCS,score,family_level_signal,Score-time standardized log-likelihood; correction variant selected in method name | Parametric person-fit evidence; data basis is retained separately. Correction variants collapse to one family-level MF signal.
332,MF,Misfit,detect_pm,ECI2_S_TSCS_pval_flag,ECI2_S_TSCS_pval_flag,0.0,pm_ECI2_S_TSCS_pval_Flag,0,1,Evidence Flag,supporting,supporting,package_pvalue_flag,"stat,pval,flag",yes,Use package-returned flag; PsyMAS does not recompute p-value thresholds.,aberrance alpha parameter; default 0.05 unless user sets alpha.,index_flag,pm_ECI2_S,TSCS,score,family_level_signal,Score-time standardized log-likelihood; correction variant selected in method name | Parametric person-fit evidence; data basis is retained separately. Correction variants collapse to one family-level MF signal.
332,MF,Misfit,detect_pm,ECI2_S_TSEW_flag,ECI2_S_TSEW_flag,0.0,pm_ECI2_S_TSEW_flag,0,1,Evidence Flag,supporting,supporting,package_pvalue_flag,"stat,pval,flag",yes,Use package-returned flag; PsyMAS does not recompute p-value thresholds.,aberrance alpha parameter; default 0.05 unless user sets alpha.,index_flag,pm_ECI2_S,TSEW,score,family_level_signal,Score-time standardized log-likelihood; correction variant selected in method name | Parametric person-fit evidence; data basis is retained separately. Correction variants collapse to one family-level MF signal.
