"item_id","item_position","true_a","true_b","true_beta","exposure_status"
"I01",1,1.42491609815107,-2.13591778200756,3.40596088057963,"secure"
"I02",2,1.19730765503604,0.146230472140731,3.1861410281154,"secure"
"I03",3,1.30484293329736,0.0153806666754228,3.27162237151553,"secure"
"I04",4,0.932524902427076,-1.51168864698339,3.6875099458035,"secure"
"I05",5,1.23668821124659,-0.244028091284348,3.03686014833195,"secure"
"I06",6,0.883387901696811,-0.907844892875981,3.39194650620911,"secure"
"I07",7,1.14010748846269,-0.911736687133717,3.24874517551804,"secure"
"I08",8,1.02367763713151,-0.0749718775782407,3.61634804743031,"secure"
"I09",9,0.903281012734746,0.0902885026349851,3.48454130013495,"exposed"
"I10",10,1.08503208240841,0.237602287263952,3.32770886966001,"exposed"
"I11",11,1.18673984765996,1.34408901511369,2.94989692165869,"secure"
"I12",12,1.13479099459616,-0.525405805484439,3.46045172671892,"secure"
"I13",13,0.801142728571254,0.00303356272416463,3.10756371935285,"secure"
"I14",14,0.726761777812696,0.225016275674097,3.26889441092809,"exposed"
"I15",15,0.958212857309815,0.794069946263291,3.7833364040856,"secure"
"I16",16,0.783522163152253,-1.1392589160683,3.83918760094458,"secure"
"I17",17,1.00203493204888,0.0461347477275937,3.66939442744244,"secure"
"I18",18,0.99631262242529,0.15352037613072,3.44313214288729,"secure"
"I19",19,0.904699397580542,-1.29618615421897,3.25053868357499,"secure"
"I20",20,0.714558692801722,-1.33298888702569,3.52102429233337,"secure"
"I21",21,0.913332718672796,1.25814636232134,3.60885595499272,"secure"
"I22",22,0.917393683055186,0.762846841371115,3.61878701498257,"secure"
"I23",23,0.717347329345768,-0.62442222790975,3.08551393473467,"secure"
"I24",24,1.12674980327378,0.251348722398184,3.11406808105383,"exposed"
"I25",25,0.967255480690773,-0.1458791671103,3.18056581491278,"secure"
"I26",26,1.01117098314327,-0.771812260340188,3.49986842727912,"secure"
"I27",27,1.12698661941742,0.831144418871558,3.05270717533066,"exposed"
"I28",28,1.26132876024107,-0.669852241901714,3.60284923963513,"secure"
"I29",29,0.769735281078784,0.14118266989665,3.02639070774483,"secure"
"I30",30,1.59291824657735,0.585123162008673,3.50374356374536,"exposed"
"I31",31,0.873916556232655,1.15970897331962,3.37482238004658,"secure"
"I32",32,1.01807575164214,-0.665105568766209,3.42217071443167,"secure"
"I33",33,1.11546430266474,1.33760165726213,3.87854019421959,"secure"
"I34",34,0.909332164114259,2.09637368882387,3.37635353910205,"secure"
"I35",35,1.25207670336609,0.12283114389971,3.39943174354543,"exposed"
"I36",36,0.937555702495308,-0.849770321736054,3.31490103913436,"secure"
"I37",37,0.959129784347736,-0.774964056643512,3.59054267066936,"secure"
"I38",38,1.62035655893797,-0.552797564323414,3.75034089965596,"secure"
"I39",39,1.00898179775519,0.518072040675315,3.14714219519877,"exposed"
"I40",40,1.09222365410896,1.37700234337722,3.46649719753229,"secure"
